Date-Heure, Tension_AC_1 (V), Courant_AC_1 (A), Power_1 (W), Energie_1 (kWh), Frequence_1 (Hz), Facteur de puissance_1, Tension_AC_2 (V), Courant_AC_2 (A), Power_2 (W), Energie_2 (kWh), Frequence_2 (Hz), Facteur de puissance_2, Tension_AC_3 (V), Courant_AC_3 (A), Power_3 (W), Energie_3 (kWh), Frequence_3 (Hz), Facteur de puissance_3
27/11/24 17:37,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:38,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:38,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:39,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:39,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:40,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:40,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:41,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:41,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:41,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:42,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:42,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:43,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:43,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:44,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:44,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:45,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:45,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:46,228.80,0.00,0.00,0.001,50.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:46,0.00,0.00,0.00,0.000,0.0,0.00,228.80,0.00,0.00,0.001,50.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:47,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,228.80,0.00,0.00,0.001,50.0,0.00
27/11/24 17:47,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:48,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:48,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:49,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:49,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:50,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:50,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:51,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:51,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:52,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:53,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:54,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:54,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:55,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:55,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:56,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:57,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
27/11/24 17:58,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
09/07/25 11:05,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
09/07/25 11:06,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
09/07/25 11:06,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 08:43,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 08:43,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 08:44,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 08:44,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 08:45,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 08:45,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 08:46,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 08:46,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:38,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:38,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:39,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:39,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:40,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:40,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:41,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:41,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:42,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:42,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:43,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:43,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:44,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:44,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:45,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:45,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:46,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:46,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:47,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
21/12/23 21:21,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
21/12/23 21:21,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
21/12/23 21:21,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
21/12/23 21:22,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
21/12/23 21:22,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
21/12/23 21:23,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
21/12/23 21:23,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:51,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:51,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:51,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:52,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:52,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:53,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:53,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:54,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:54,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:55,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:55,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:56,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:56,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
10/07/25 09:57,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.00,0.000,0.0,0.00
